2025-12-04 17:33:05.563502 | student001 | ['Multiple faces detected']
2025-12-04 17:33:05.894843 | student001 | ['Multiple faces detected']
2025-12-04 17:33:06.555483 | student001 | ['Multiple faces detected']
2025-12-04 17:33:06.790499 | student001 | ['Multiple faces detected']
2025-12-04 17:33:07.619814 | student001 | ['Multiple faces detected']
2025-12-04 17:33:07.738756 | student001 | ['Multiple faces detected']
2025-12-04 17:33:11.724921 | student001 | ['Multiple faces detected']
2025-12-04 17:33:12.153552 | student001 | ['Multiple faces detected']
2025-12-04 17:33:12.461523 | student001 | ['Multiple faces detected']
2025-12-04 17:33:12.532881 | student001 | ['Multiple faces detected']
2025-12-04 17:33:14.308245 | student001 | ['Multiple faces detected']
2025-12-04 17:33:14.582489 | student001 | ['Multiple faces detected']
2025-12-04 17:33:15.171718 | student001 | ['Multiple faces detected']
2025-12-04 17:33:15.397329 | student001 | ['Multiple faces detected']
2025-12-04 17:33:15.787342 | student001 | ['Multiple faces detected']
2025-12-04 17:33:16.974946 | student001 | ['Multiple faces detected']
2025-12-04 17:33:17.288598 | student001 | ['Multiple faces detected']
2025-12-04 17:33:17.347474 | student001 | ['Multiple faces detected']
2025-12-04 17:33:17.927411 | student001 | ['Multiple faces detected']
2025-12-04 17:33:18.167989 | student001 | ['Multiple faces detected']
2025-12-04 17:33:18.470434 | student001 | ['Multiple faces detected']
2025-12-04 17:33:19.479622 | student001 | ['Multiple faces detected']
2025-12-04 17:33:19.788105 | student001 | ['Multiple faces detected']
2025-12-04 17:33:19.953425 | student001 | ['Multiple faces detected']
2025-12-04 17:33:20.322683 | student001 | ['Multiple faces detected']
2025-12-04 17:33:20.722532 | student001 | ['Multiple faces detected']
2025-12-04 17:33:21.123253 | student001 | ['Multiple faces detected']
2025-12-04 17:33:22.138103 | student001 | ['Multiple faces detected']
2025-12-04 17:33:22.138103 | student001 | ['Multiple faces detected']
2025-12-04 17:33:22.138103 | student001 | ['Multiple faces detected']
2025-12-04 17:33:22.299074 | student001 | ['Multiple faces detected']
2025-12-04 17:33:23.763360 | student001 | ['Multiple faces detected']
2025-12-04 17:33:23.861134 | student001 | ['Multiple faces detected']
2025-12-04 17:33:23.861134 | student001 | ['Multiple faces detected']
2025-12-04 17:33:23.861134 | student001 | ['Multiple faces detected']
2025-12-04 17:33:24.326527 | student001 | ['Multiple faces detected']
2025-12-04 17:33:25.491488 | student001 | ['Multiple faces detected']
2025-12-04 17:33:25.491488 | student001 | ['Multiple faces detected']
2025-12-04 17:33:25.635119 | student001 | ['Multiple faces detected']
2025-12-04 17:33:25.642066 | student001 | ['Multiple faces detected']
2025-12-04 17:33:25.848162 | student001 | ['Multiple faces detected']
2025-12-04 17:33:26.139731 | student001 | ['Multiple faces detected']
2025-12-04 17:33:27.160094 | student001 | ['Multiple faces detected']
2025-12-04 17:33:27.160094 | student001 | ['Multiple faces detected']
2025-12-04 17:33:27.160094 | student001 | ['Multiple faces detected']
2025-12-04 17:33:27.450640 | student001 | ['Multiple faces detected']
2025-12-04 17:33:27.853395 | student001 | ['Multiple faces detected']
2025-12-04 17:33:28.087033 | student001 | ['Multiple faces detected']
2025-12-04 17:33:29.247593 | student001 | ['Multiple faces detected']
2025-12-04 17:33:29.247593 | student001 | ['Multiple faces detected']
2025-12-04 17:33:29.499196 | student001 | ['Multiple faces detected']
2025-12-04 17:33:29.688997 | student001 | ['Multiple faces detected']
2025-12-04 17:33:30.519209 | student001 | ['Multiple faces detected']
2025-12-04 17:33:31.473025 | student001 | ['Multiple faces detected']
2025-12-04 17:33:31.589085 | student001 | ['Multiple faces detected']
2025-12-04 17:33:32.153907 | student001 | ['Multiple faces detected']
2025-12-04 17:33:34.956984 | student001 | ['Multiple faces detected']
2025-12-04 17:33:35.842364 | student001 | ['Multiple faces detected']
2025-12-04 17:33:36.108698 | student001 | ['Multiple faces detected']
2025-12-04 17:33:36.310730 | student001 | ['Multiple faces detected']
2025-12-04 17:33:37.465054 | student001 | ['Multiple faces detected']
2025-12-04 17:33:37.776095 | student001 | ['Multiple faces detected']
2025-12-04 17:33:37.981084 | student001 | ['Multiple faces detected']
2025-12-04 17:33:38.071061 | student001 | ['Multiple faces detected']
2025-12-04 17:33:38.227358 | student001 | ['Multiple faces detected']
2025-12-04 17:33:40.351848 | student001 | ['Multiple faces detected']
2025-12-04 17:33:40.470986 | student001 | ['Multiple faces detected']
2025-12-04 17:33:40.470986 | student001 | ['Multiple faces detected']
2025-12-04 17:33:40.837971 | student001 | ['Multiple faces detected']
2025-12-04 17:33:41.857634 | student001 | ['Multiple faces detected']
2025-12-04 17:33:42.135056 | student001 | ['Multiple faces detected']
2025-12-04 17:33:42.315361 | student001 | ['Multiple faces detected']
2025-12-04 17:33:42.315361 | student001 | ['Multiple faces detected']
2025-12-04 17:33:44.633224 | student001 | ['Multiple faces detected']
2025-12-04 17:33:44.790642 | student001 | ['Multiple faces detected']
2025-12-04 17:33:45.938062 | student001 | ['Multiple faces detected']
2025-12-04 17:33:46.198539 | student001 | ['Multiple faces detected']
2025-12-04 17:33:46.198539 | student001 | ['Multiple faces detected']
2025-12-04 17:33:46.280307 | student001 | ['Multiple faces detected']
2025-12-04 17:33:46.452421 | student001 | ['Multiple faces detected']
2025-12-04 17:33:46.693642 | student001 | ['Multiple faces detected']
2025-12-04 17:33:48.000708 | student001 | ['Multiple faces detected']
2025-12-04 17:33:48.371536 | student001 | ['Multiple faces detected']
2025-12-04 17:33:48.371536 | student001 | ['Multiple faces detected']
2025-12-04 17:33:48.535768 | student001 | ['Multiple faces detected']
2025-12-04 17:33:49.920999 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.201075 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.201075 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.376056 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.376056 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.397496 | student001 | ['Multiple faces detected']
2025-12-04 17:33:50.548128 | student001 | ['Multiple faces detected']
